Policy ID,Client,Account Owner,Product Line,Country,Region,Distribution,Retail Broker,Business Type,Inception Date,Expiry Date,Status,Currency,FX Rate (per GBP),Premium (Local),GWP (GBP),Brokerage %,Revenue (GBP)
BTD-2024-00266,Crayford Dynamics,Sofia Almeida,Political Violence,Japan,Asia Pacific,Retail,,Renewal,2024-10-13,2025-10-13,Renewed,USD,1.27,43440,34204.72,0.2146,7340.33
BTD-2024-00223,Garrowby Petroleum,Priya Nandakumar,Fixated Threat,Canada,North America,Wholesale,Norbury Risk Solutions,Renewal,2024-08-19,2025-08-19,Expired,CAD,1.72,3180,1848.84,0.1291,238.68
BTD-2024-00055,Harrowgate Resources Group,Marcus Ridley,Professional Indemnity,United States,North America,Wholesale,Calderstone Risk Partners,New Business,2024-01-01,2025-01-01,Renewed,USD,1.27,17300,13622.05,0.0764,1040.72
BTD-2024-00186,Meridian Vale Energy,Eleanor Voss,Kidnap and Ransom,Colombia,Latin America,Wholesale,Ainsworth & Pike,New Business,2024-07-16,2025-07-16,Renewed,USD,1.27,41230,32464.57,0.1379,4476.86
BTD-2025-00544,Hartsmere Aviation,Callum Reid,Personal Accident,Greece,Europe,Wholesale,Ainsworth & Pike,New Business,2025-07-13,2026-07-13,Live,EUR,1.17,4450,3803.42,0.1069,406.59
BTD-2024-00258,Tregarthen Copper,Tom Beckwith,Active Assailant,United States,North America,Wholesale,Jardine Wray Partners,New Business,2024-09-23,2025-09-23,Expired,USD,1.27,4550,3582.68,0.1158,414.87
BTD-2025-00512,Ormsgill Cement,Sofia Almeida,Professional Indemnity,United Kingdom,UK & Ireland,Retail,,Renewal,23/06/2025,2027-06-23,Live,GBP,1.0,12520,12520.0,0.1573,1969.4
BTD-2024-00164,Ormsgill Cement,Tom Beckwith,Active Assailant,United Kingdom,UK & Ireland,Wholesale,Norbury Risk Solutions,New Business,2024-06-01,2024-12-01,Renewed,GBP,1.0,4370,4370.0,0.1291,564.17
BTD-2025-00364,Ardenvale Mining Corporation,Eleanor Voss,Political Violence,United Kingdom,UK & Ireland,Retail,,New Business,2025-01-16,2026-01-16,Renewed,GBP,1.0,56880,"56,880.00",0.1991,"11,324.81"
BTD-2025-00712,Kelsterne Beverages,Callum Reid,D&O,Canada,North America,Retail,,New Business,2025-12-01,2026-12-01,Live,CAD,1.72,15470,8994.19,0.1492,1341.93
BTD-2025-00547,Alderney Freight Ltd,Marcus Ridley,Political Violence,Canada,North America,Wholesale,Ainsworth & Pike,Renewal,2025-07-09,2026-01-09,Renewed,CAD,1.72,57050,33168.6,0.1091,3618.69
BTD-2026-00948,Salterton Electronics,Marcus Ridley,K&R,Kenya,Middle East & Africa,Retail,,Renewal,2026-06-01,2028-06-01,Live,USD,1.27,18230,14354.33,0.2356,3381.88
BTD-2026-00942,Hexworthy Tunnelling,Marcus Ridley,Cyber,Netherlands,Europe,Wholesale,Ollerton & Hale,Renewal,2026-06-06,2027-06-06,Live,EUR,1.17,36660,31333.33,0.077,2412.67
BTD-2024-00229,Kestrel Field Services,Tom Beckwith,Kidnap and Ransom,United Kingdom,UK & Ireland,Retail,,Renewal,2024-08-01,2025-08-01,Renewed,GBP,1.0,10010,10010.0,0.2516,2518.52
BTD-2024-00007,Tregarthen Copper,Sofia Almeida,Product Recall,Cyprus,Europe,Wholesale,Lansdowne Brokers Group,New Business,2024-01-07,2024-07-07,Renewed,EUR,1.17,29100,28602.56,0.0891,2548.49
BTD-2026-00766,Newlyn Bay Fisheries,Tom Beckwith,Active Assailant,UK,UK & Ireland,Retail,,New Business,2026-01-16,2027-01-16,Live,GBP,1.0,9070,9070.0,0.2313,2097.89
BTD-2025-00469,Brackenhill Logistics,Marcus Ridley,PI,Italy,Europe,Wholesale,Ivory Lane Insurance,Renewal,2025-04-19,2026-04-19,Renewed,EUR,1.17,40070,34247.86,0.0809,2770.65
BTD-2025-00435,Caldwell Maritime Holdings,Marcus Ridley,D&O,United Kingdom,UK & Ireland,Wholesale,Eastgate Commercial Risks,New Business,2025-03-01,2026-03-01,Renewed,GBP,1.0,34950,34950.0,0.0846,2956.77
BTD-2024-00252,Ilverton Diagnostics,Tom Beckwith,Liability,United Arab Emirates,Middle East & Africa,Wholesale,Denholm Marsh Brokers,Renewal,2024-09-01,2025-09-01,Expired,USD,1.27,5930,4669.29,0.0978,456.66
BTD-2025-00703,Yeadon Rail Services,Priya Nandakumar,Kidnap and Ransom,Canada,North America,Retail,,New Business,2025-12-01,2026-06-01,Renewed,CAD,1.72,7180,4174.42,0.236,985.16
BTD-2026-00860,Orrinshaw Media Group,Priya Nandakumar,Liability,United Kingdom,UK & Ireland,Wholesale,Ollerton & Hale,Renewal,2026-04-10,2027-04-10,Live,GBP,1.0,30000,30000.0,0.1024,3072.0
BTD-2026-00849,Yeadon Rail Services,Eleanor Voss,Terrorism,United Kingdom,UK & Ireland,Retail,,New Business,2026-04-09,2027-04-09,Live,GBP,1.0,23750,23750.0,0.206,4892.5
BTD-2024-00295,Orrinshaw Media Group,Priya Nandakumar,Kidnap & Ransom,United Kingdom,UK & Ireland,Retail,,New Business,20/11/2024,2025-05-20,Renewed,GBP,1.0,9980,9980.0,0.249,2485.02
BTD-2024-00089,Westhaven Cruises,Eleanor Voss,D&O,United Kingdom,UK & Ireland,Retail,,New Business,2024-03-20,2025-03-20,Expired,GBP,1.0,19320,19320.0,0.1495,2888.34
BTD-2026-00755,Fairholme Capital Partners,Marcus Ridley,Liability,Switzerland,Europe,Wholesale,Jardine Wray Partners,New Business,2026-01-01,2027-01-01,Live,EUR,1.17,31590,27000.0,0.096,2592.0
BTD-2025-00428,Meridian Vale Energy,Tom Beckwith,D&O,United Kingdom,UK & Ireland,Retail,,New Business,2025-03-01,2026-03-01,Renewed,GBP,1.0,84910,84910.0,0.1516,12872.36
BTD-2025-00370,Nethercott Foods,Marcus Ridley,Professional Indemnity,UK,UK & Ireland,Retail,,New Business,2025-01-15,2026-01-15,Renewed,GBP,1.0,8470,8470.0,0.1417,1200.2
BTD-2024-00041,Harrowgate Resources Group,Sofia Almeida,Active Assailant,Germany,Europe,Retail,,New Business,2024-01-11,2025-01-11,Renewed,EUR,1.17,22620,22233.33,0.2156,4793.51
BTD-2024-00028,Northgate Pharmaceuticals,Marcus Ridley,Liability,United Kingdom,UK & Ireland,Wholesale,Fairweather & Co,New Business,2024-01-01,2025-01-01,Renewed,GBP,1.0,11610,11610.0,0.1023,1187.7
BTD-2025-00685,Tregarthen Copper,Marcus Ridley,Political Violence,United States,North America,Wholesale,Denholm Marsh Brokers,New Business,2025-11-01,2026-11-01,Live,USD,1.27,29870,23519.69,0.1175,2763.56
BTD-2025-00534,Stonegrave Construction,Priya Nandakumar,D&O,United Kingdom,UK & Ireland,Retail,,Renewal,2025-06-17,2026-06-17,Expired,GBP,1.0,19080,19080.0,0.1503,2867.72
BTD-2026-00891,Kestrel Field Services,Eleanor Voss,Active Assailant,United Kingdom,UK & Ireland,Retail,,Renewal,2026-04-28,2027-04-28,Live,GBP,1.0,16230,16230.0,0.2279,3698.82
BTD-2024-00153,Orrinshaw Media Group,Sofia Almeida,D&O,Australia,Asia Pacific,Wholesale,Norbury Risk Solutions,Renewal,2024-06-16,2026-06-16,Expired,AUD,1.93,74950,38834.2,0.0825,3203.82
BTD-2024-00235,Rothersay Shipping Lines,Sofia Almeida,Active Assailant,USA,North America,Retail,,New Business,2024-08-10,2025-08-10,Expired,USD,1.27,4850,3818.9,0.2273,868.04
BTD-2024-00048,Grantley Sports Holdings,Tom Beckwith,Kidnap & Ransom,UK,UK & Ireland,Wholesale,Hollowell Brokers Ltd,New Business,2024-01-07,2025-01-07,Renewed,GBP,1.0,9030,9030.0,0.1312,1184.74
BTD-2026-00950,Caldwell Maritime Holdings,Callum Reid,Cyber,United Kingdom,UK & Ireland,Wholesale,Eastgate Commercial Risks,Renewal,2026-06-01,2027-06-01,Live,GBP,1.0,15030,15030.0,0.0838,1259.51
BTD-2024-00127,Silverdale Data Centres,Sofia Almeida,Liability,Greece,Europe,Wholesale,Lansdowne Brokers Group,New Business,2024-04-23,2025-04-23,Expired,EUR,1.17,11830,10111.11,0.0938,948.42
BTD-2025-00550,Orrinshaw Media Group,Tom Beckwith,Fixated Threat,United Kingdom,UK & Ireland,Wholesale,Grindley Risk Services,Renewal,2025-07-01,2026-07-01,Live,GBP,1.0,4410,4410.0,0.1433,631.95
BTD-2025-00553,Everleigh Cosmetics,Tom Beckwith,Kidnap & Ransom,UK,UK & Ireland,Wholesale,Merrivale Insurance Partners,Renewal,2025-07-07,2027-07-07,Live,GBP,1.0,4690,4690.0,0.1356,635.96
BTD-2024-00306,Hexworthy Tunnelling,Sofia Almeida,Liability,Mexico,Latin America,Retail,,Renewal,2024-11-23,2025-11-23,Renewed,USD,1.27,32380,25496.06,0.1818,4635.18
BTD-2024-00034,Melbray Renewables,Priya Nandakumar,Liability,United Kingdom,UK & Ireland,Wholesale,Calderstone Risk Partners,New Business,2024-01-25,2025-01-25,Renewed,GBP,1.0,14450,14450.0,0.0942,1361.19
BTD-2024-00245,Harrowgate Resources Group,Marcus Ridley,Cyber,United Kingdom,UK & Ireland,Wholesale,Hollowell Brokers Ltd,New Business,2024-09-01,2025-09-01,Expired,GBP ,1.0,13850,13850.0,0.0882,1221.57
BTD-2025-00674,Vellacott Agritech,Marcus Ridley,Liability,Canada,North America,Retail,,New Business,2025-11-01,2026-11-01,Live,CAD,1.72,10500,6104.65,0.1692,1032.91
